"table_name","column_name","is_nullable","data_type","table_comment","column_comment","constraint_type","referenced_table","referenced_column"
"departments",NULL,NULL,NULL,"Stores department information",NULL,NULL,NULL,NULL
"professors",NULL,NULL,NULL,"Stores professor information",NULL,NULL,NULL,NULL
"students",NULL,NULL,NULL,"Stores student information",NULL,NULL,NULL,NULL
"majors",NULL,NULL,NULL,"Stores information about student majors",NULL,NULL,NULL,NULL
"minors",NULL,NULL,NULL,"Stores information about student minors",NULL,NULL,NULL,NULL
"research_projects",NULL,NULL,NULL,"Stores information about research projects",NULL,NULL,NULL,NULL
"enrollments",NULL,NULL,NULL,"Stores information about student enrollments in courses",NULL,NULL,NULL,NULL
"courses",NULL,NULL,NULL,"Stores course information",NULL,NULL,NULL,NULL
"course_professors",NULL,NULL,NULL,"Stores information about which professors teach which courses",NULL,NULL,NULL,NULL
"schedules",NULL,NULL,NULL,"Stores schedule information for courses",NULL,NULL,NULL,NULL
"classrooms",NULL,NULL,NULL,"Stores classroom information",NULL,NULL,NULL,NULL
"grades",NULL,NULL,NULL,"Stores grades for students in courses",NULL,NULL,NULL,NULL
"advisors",NULL,NULL,NULL,"Stores information about which professors are advisors to which students",NULL,NULL,NULL,NULL
"prerequisites",NULL,NULL,NULL,"Stores information about course prerequisites",NULL,NULL,NULL,NULL
"departments_courses",NULL,NULL,NULL,"Stores information about which courses belong to which departments",NULL,NULL,NULL,NULL
"project_students",NULL,NULL,NULL,"Stores information about which students are involved in which research projects",NULL,NULL,NULL,NULL
"project_professors",NULL,NULL,NULL,"Stores information about which professors are involved in which research projects",NULL,NULL,NULL,NULL
"clubs",NULL,NULL,NULL,"Stores information about student clubs",NULL,NULL,NULL,NULL
"club_members",NULL,NULL,NULL,"Stores information about which students are members of which clubs",NULL,NULL,NULL,NULL
"events",NULL,NULL,NULL,"Stores information about events organized by clubs",NULL,NULL,NULL,NULL
"departments","department_id","NO","integer",NULL,"Primary key for Departments table",NULL,NULL,NULL
"majors","major_id","NO","integer",NULL,"Primary key for Majors table",NULL,NULL,NULL
"minors","minor_id","NO","integer",NULL,"Primary key for Minors table",NULL,NULL,NULL
"professors","professor_id","NO","integer",NULL,"Primary key for Professors table",NULL,NULL,NULL
"professors","department_id","YES","integer",NULL,"Foreign key referencing Departments table","FOREIGN KEY","departments","department_id"
